timestamp_sec,timestamp_nsec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
8900,586154565,0.00559419,0.00275582,0.031541,-0.00237264,0.00288717,-0.00143241,0.999992
8901,688595974,0.0233433,0.0100508,0.0334745,-0.000851623,0.00219638,-0.00175194,0.999996
8902,791016441,0.0178361,0.00297011,0.0421451,-0.00300606,0.00351679,-0.00163762,0.999988
8903,897787005,0.0324852,0.00362582,0.0386409,-0.00347895,0.00442156,-0.00148195,0.999983
8904,999603315,0.0194283,0.00870264,0.0465398,-0.00272442,0.00426817,-0.00161519,0.999986
8906,98185327,0.0288807,-0.00255859,0.0525759,-0.00308323,0.00439567,-0.000483595,0.999985
8907,199549573,0.0322604,0.0151698,0.059866,-0.0041636,0.00568914,-0.00191782,0.999973
8908,299641297,0.0294202,-0.000687302,0.0490657,-0.00356815,0.00453874,-0.00167405,0.999982
8909,387134844,0.0167033,-0.00111861,0.0545516,-0.00479277,0.00549742,-0.001647,0.999972
8910,489557288,0.0291558,0.000669143,0.0544246,-0.00251791,0.00445087,-0.00166392,0.999986
8911,592393143,0.0395788,0.0156029,0.0702868,-0.0038402,0.00607686,-0.00262306,0.999971
8912,695047629,0.0299565,-0.00346094,0.0540152,-0.00404189,0.00521275,-0.00140494,0.999977
8913,797608150,0.0306191,0.00910816,0.0551457,-0.00381954,0.00544415,-0.00214461,0.999976
8914,899517631,0.0413801,0.0208968,0.051972,-0.00601935,0.0057263,-0.00251567,0.999962
8915,993530259,0.0260884,0.0199146,0.0658081,-0.0044528,0.00649015,-0.00233585,0.999966
8917,95734394,0.0218386,-0.00592534,0.0568989,-0.00449794,0.0054388,-0.00275334,0.999971
8918,197986502,0.0327461,0.0165741,0.0521397,-0.00384898,0.00475379,-0.00200934,0.999979
8919,286600480,0.0274669,0.0251569,0.0515889,-0.00467805,0.00613455,-0.00330963,0.999965
8920,389020927,0.0329688,0.0174741,0.055462,-0.00577176,0.00655817,-0.00248811,0.999959
8921,491432785,0.0353171,0.0127444,0.0634528,-0.00540079,0.00703815,-0.00362419,0.999954
8922,598451957,0.0331102,0.00536973,0.0677695,-0.003172,0.00568863,-0.00258139,0.999975
8923,699759487,0.0312331,0.0104324,0.0536415,-0.00367356,0.00534068,-0.00216755,0.999977
8924,798559810,0.0358831,0.0150332,0.0592936,-0.00578074,0.00695329,-0.0029605,0.999955
8925,899141897,0.0429495,0.0213942,0.0756328,-0.0050419,0.00695687,-0.00296607,0.999959
8926,999768494,0.0315476,0.0114868,0.053548,-0.00552523,0.00633905,-0.00300131,0.99996
8928,87562691,0.0374633,0.0112579,0.057196,-0.0047597,0.00617504,-0.00244908,0.999967
8929,190236493,0.0314156,0.01559,0.0549886,-0.00388001,0.0061957,-0.00260423,0.99997
8930,293010945,0.036088,0.0111921,0.0540127,-0.0041355,0.00540629,-0.00226242,0.999974
8931,395587345,0.0314994,-0.0055541,0.0650527,-0.00633843,0.00686224,-0.00236356,0.999954
8932,498079985,0.0248305,-0.00101599,0.0543807,-0.00471252,0.00629766,-0.00310514,0.999964
8933,599125387,0.0475625,0.0211695,0.0611475,-0.00479853,0.00630663,-0.00248886,0.999966
8934,693810132,0.0375521,0.0195358,0.0643396,-0.00598232,0.00704438,-0.003039,0.999953
8935,796050927,0.00788076,0.00615171,0.0645408,-0.00620425,0.00720014,-0.0016856,0.999953
8936,898288065,0.029003,0.0158147,0.0611839,-0.00619203,0.0069316,-0.00231359,0.999954
8937,987026704,0.031926,-0.00560421,0.053852,-0.00607117,0.00686309,-0.00239552,0.999955
8939,89437784,0.0385686,0.0193974,0.0647291,-0.00590522,0.00723772,-0.00333932,0.999951
8940,196406421,0.0436973,0.0126199,0.0658398,-0.00519001,0.00675501,-0.00295416,0.999959
8941,299034034,0.0236583,-0.00189714,0.0596206,-0.00462873,0.00639819,-0.0015048,0.999968
8942,396588846,0.0431623,0.0188045,0.0529277,-0.00858624,0.00814813,-0.00349666,0.999924
8943,498932009,0.0354432,0.0207349,0.0506611,-0.00462265,0.00571306,-0.00284835,0.999969
8944,599170948,0.0385226,0.00310914,0.068786,-0.00434134,0.00650659,-0.00258355,0.999966
8945,685559877,0.0363938,0.018671,0.0593696,-0.00461706,0.00625572,-0.00299284,0.999965
8946,787970532,0.0347652,0.0134369,0.0563835,-0.00437411,0.00613696,-0.00236944,0.999969
8947,890996883,0.0352322,0.0191685,0.0650905,-0.00623677,0.00730209,-0.00259504,0.999951
8948,993562983,0.0350058,0.014257,0.0731734,-0.00670729,0.00810648,-0.00298355,0.99994
8950,96077636,0.0372151,0.00944568,0.0622317,-0.0042875,0.00650435,-0.00318809,0.999965
